feature,genre,system,category,ai_var,human_var,var_ratio,levene_p,levene_p_adj
spectral_flatness_std,dancepop,lyria,Spectral,0.006293278578637098,0.00013386714541913525,47.011375038535206,7.328125189058542e-05,0.0006045703280973297
spectral_contrast_mean,dancepop,lyria,Spectral,0.6142274062917146,0.8588321346916167,0.7151891289119812,0.2683220731006349,0.38731990430033175
spectral_contrast_std,dancepop,lyria,Spectral,0.09365747508662138,0.19502179488283153,0.4802410681477447,0.00856507972994532,0.02018911650629968
zero_crossing_rate_mean,dancepop,lyria,Spectral,0.000480233262161104,0.0006786183682742069,0.7076632237090551,0.1533719572627968,0.2530637294836147
zero_crossing_rate_std,dancepop,lyria,Spectral,0.0005025560131769193,0.0002968484209759644,1.692971825568885,0.2699502363305343,0.38731990430033175
harmonic_ratio,dancepop,lyria,Prompt-encoded,0.015597656796386488,0.007625997817942666,2.0453266797018843,0.02761591259576784,0.0520757208948765
tempo,dancepop,lyria,Prompt-encoded,528.7871788156328,430.06703274837946,1.2295459510959814,0.502281368471801,0.6500111827282131
onset_density,dancepop,lyria,Prompt-encoded,1.0103384960718294,1.27353265993266,0.7933353637944807,0.1162745717104879,0.19677235212544106
onset_strength_mean,dancepop,lyria,Rhythmic,0.11693028545456516,0.05460993436585259,2.1411907341108485,0.009676143976511398,0.022021569049991457
onset_strength_std,dancepop,lyria,Rhythmic,0.7200184192834391,0.1871739785174398,3.8467869571749898,8.795690124652509e-07,1.6017441182760066e-05
ioi_mean,dancepop,lyria,Rhythmic,0.002427303598603569,0.07326037319424308,0.03313255847288409,4.699653681372968e-05,0.0005169619049510265
ioi_std,dancepop,lyria,Rhythmic,0.002278908085034109,0.21979304794932703,0.010368426600824555,0.0026588282547905105,0.007629681078964073
ioi_cv,dancepop,lyria,Rhythmic,0.01695936587966979,0.07644824026950822,0.2218411544841552,0.0007348576847596367,0.0030312879496335013
chroma_stft_mean,dancepop,lyria,Harmonic,0.002870853841645002,0.0030603635083415845,0.9380760925360536,0.8557879044377122,0.8927171410712331
chroma_stft_std,dancepop,lyria,Harmonic,0.00010796023994295754,0.00010764047463873499,1.0029706790619026,0.9864434499745041,0.9913443509406279
chroma_stft_var,dancepop,lyria,Harmonic,3.8982253737161863e-05,3.6839392768187587e-05,1.0581676517432919,0.865665106493317,0.8927171410712331
chroma_cqt_mean,dancepop,lyria,Harmonic,0.006407118068615155,0.006122039547721572,1.0465659391239444,0.692913193327087,0.7751232332133515
chroma_cqt_std,dancepop,lyria,Harmonic,0.0007641632122351017,0.0004573397795275657,1.6708872624736169,0.0029568470812331785,0.00813132947339124
tonnetz_mean,dancepop,lyria,Harmonic,0.00031920674569404806,0.0006780450792210424,0.4707751084349169,0.027147361651753108,0.0520757208948765
tonnetz_std,dancepop,lyria,Harmonic,0.0014342925945363403,0.0015703344089000812,0.9133676154628558,0.8030600152581892,0.8577879059853829
repetition_score,dancepop,lyria,Structural,0.0008019276594122012,0.000286433932583422,2.799695036755623,0.0007178030782736283,0.0030312879496335013
self_similarity_mean,dancepop,lyria,Prompt-encoded,0.0008019276594122012,0.000286433932583422,2.799695036755623,0.0007178030782736283,0.0030312879496335013
self_similarity_std,dancepop,lyria,Structural,0.0007228103500470995,0.00030682932704309427,2.355740753378443,0.0003240840658927841,0.001731708306438181
mfcc_0_mean,dancepop,lyria,Timbral (MFCC),1170.285716721004,1859.7837093653086,0.629259042773522,0.6180926945954934,0.7284663900589744
mfcc_1_mean,dancepop,lyria,Timbral (MFCC),261.0372261296532,251.47398809990756,1.038028736498768,0.805800760168087,0.8577879059853829
mfcc_2_mean,dancepop,lyria,Timbral (MFCC),74.95551296009239,111.00277409967136,0.6752580155590392,0.014924440790873923,0.029848881581747845
mfcc_3_mean,dancepop,lyria,Timbral (MFCC),31.848188452957995,59.31447884656037,0.5369378450638593,0.010394424679265048,0.022867734294383105
mfcc_4_mean,dancepop,lyria,Timbral (MFCC),24.056780346227676,41.25016222767606,0.5831923814856469,0.005905058611053056,0.014773989812253186
mfcc_5_mean,dancepop,lyria,Timbral (MFCC),19.373751512342015,40.255316908148856,0.4812718666840305,0.0020014868460864286,0.006290387230557347
mfcc_6_mean,dancepop,lyria,Timbral (MFCC),16.272385893032506,32.90569033169259,0.4945158642473462,0.0016102476608089759,0.005639344726437336
mfcc_7_mean,dancepop,lyria,Timbral (MFCC),13.815508323894669,33.23355619208916,0.4157095991786543,0.00021876722785645086,0.0013126033671387051
mfcc_8_mean,dancepop,lyria,Timbral (MFCC),10.172402573001797,20.49079624264533,0.4964376421757125,0.006043904923194485,0.014773989812253186
mfcc_9_mean,dancepop,lyria,Timbral (MFCC),11.36948892373018,18.289656320924884,0.6216349134304149,0.013024018613195543,0.026862038389715806
mfcc_10_mean,dancepop,lyria,Timbral (MFCC),10.067130851494412,14.708901116469036,0.6844244020528903,0.0978837936809477,0.1746035238633121
mfcc_11_mean,dancepop,lyria,Timbral (MFCC),11.165042709315953,11.033142725916564,1.0119548878026892,0.9913443509406279,0.9913443509406279
mfcc_12_mean,dancepop,lyria,Timbral (MFCC),8.555228194718882,10.131308446740162,0.8444346788663416,0.18339048169330177,0.2814830649246027
mfcc_0_std,dancepop,lyria,Timbral (MFCC),1347.4283757499659,301.3505909948979,4.4712982685764135,4.243207251835164e-07,1.4002583931056041e-05
mfcc_1_std,dancepop,lyria,Timbral (MFCC),92.81637831076489,52.40647869488748,1.7710859539169839,0.0031879119833325043,0.008416087635997811
mfcc_2_std,dancepop,lyria,Timbral (MFCC),38.86877107696762,26.663884854231288,1.457730982917875,0.33005117760797875,0.4538203692109708
mfcc_3_std,dancepop,lyria,Timbral (MFCC),12.734322138785634,15.081158825542163,0.8443861831902589,0.7309432823323742,0.8040376105656115
mfcc_4_std,dancepop,lyria,Timbral (MFCC),12.029769835827754,8.77795331013166,1.3704527024474822,0.2630172790674366,0.38731990430033175
mfcc_5_std,dancepop,lyria,Timbral (MFCC),7.361589924944466,8.273018417103788,0.8898312023245327,0.1580043614648331,0.2543484843092435
mfcc_6_std,dancepop,lyria,Timbral (MFCC),6.1398515154727225,5.991297410377021,1.024794980939922,0.667341523842779,0.7593886305797141
mfcc_7_std,dancepop,lyria,Timbral (MFCC),6.45315847854086,6.4362550467463056,1.0026262837118458,0.5420204845316943,0.6749689052658834
mfcc_8_std,dancepop,lyria,Timbral (MFCC),4.876496248037507,3.9371180670776447,1.2385953799087166,0.31113970716153466,0.4369195887800274
mfcc_9_std,dancepop,lyria,Timbral (MFCC),4.681044294923844,3.291248931779109,1.4222699017766096,0.17489459204762414,0.2748343589319808
mfcc_10_std,dancepop,lyria,Timbral (MFCC),2.869298404145605,2.6705172641610386,1.0744354446429745,0.6049841152050028,0.7259809382460034
mfcc_11_std,dancepop,lyria,Timbral (MFCC),3.312429706265988,2.3028383009477333,1.4384117655602469,0.1024055618244621,0.17786229158985523
mfcc_12_std,dancepop,lyria,Timbral (MFCC),2.4109590287315115,3.0836018975154365,0.7818645560810245,0.5011877708898588,0.6500111827282131
mfcc_delta_mean,dancepop,lyria,Timbral (MFCC),0.00025614386375096107,0.00010807333993859802,2.3700929747936863,0.002411729289292654,0.007235187867877963
mfcc_delta_std,dancepop,lyria,Timbral (MFCC),1.7042496471559834,0.6270109708113937,2.718053951991576,8.909064959266914e-05,0.0006533314303462404
mfcc_delta2_mean,dancepop,lyria,Timbral (MFCC),4.6891049447818435e-05,2.2982833106961064e-05,2.040264106239192,0.011989566501603146,0.02552617384212283
mfcc_delta2_std,dancepop,lyria,Timbral (MFCC),0.6300863073165891,0.2841645033791434,2.2173293983728266,0.00034109406035903565,0.001731708306438181
chroma_entropy,dancepop,lyria,Key / Tonal,0.00039424106268997434,0.00028115548532362694,1.402217218832416,0.4618151066451077,0.6220366742566757
key_clarity,dancepop,lyria,Key / Tonal,0.03121006111018862,0.029255407623047038,1.0668134080484228,0.5888986783221903,0.7197650512826771
spectral_centroid_cv,dancepop,lyria,Intra-track,0.012142319894243829,0.006545665858911365,1.855016763147648,0.00114033497666735,0.0044271828505908885
onset_strength_cv,dancepop,lyria,Intra-track,0.06433479114526032,0.02630821848502093,2.4454256065225595,2.2240341250430963e-05,0.0002935725045056887
rms_cv,dancepop,lyria,Intra-track,0.021237239751611032,0.008641688323959095,2.4575336387370914,9.707540110763677e-07,1.6017441182760066e-05
spectral_centroid_mean,kpop,suno,Spectral,433166.0502364669,156550.84781291254,2.7669351925460397,6.15258533111096e-06,3.691551198666576e-05
spectral_centroid_std,kpop,suno,Spectral,60310.51702968099,36963.345627719544,1.6316303626058388,0.025668911007851656,0.041320686012639246
spectral_centroid_var,kpop,suno,Spectral,149359916168.5483,118834102059.93503,1.2568775593828891,0.11057764948269756,0.1459624973171608
spectral_bandwidth_mean,kpop,suno,Spectral,344259.13537469605,54993.00103193145,6.260053623456619,7.521603651865524e-12,1.714352727334639e-10
spectral_bandwidth_std,kpop,suno,Spectral,53406.060745484865,23388.97603146307,2.2833860137204183,8.516656063075717e-06,4.323840770484594e-05
spectral_rolloff_mean,kpop,suno,Spectral,2384121.1624196214,780197.223106916,3.0557929351831445,1.91486438926188e-07,1.2638104969128407e-06
spectral_rolloff_std,kpop,suno,Spectral,343135.66361953906,176653.288618359,1.9424244309476055,0.0017360953772518912,0.0042437886999490675
spectral_flatness_mean,kpop,suno,Spectral,0.000150421311356865,0.00016106920633843344,0.9338924228682456,0.37992417730840966,0.41791659503925066
spectral_flatness_std,kpop,suno,Spectral,0.00027831696724794984,0.00029861400103776785,0.9320291958204233,0.23174614157912324,0.28324528415226174
spectral_contrast_mean,kpop,suno,Spectral,1.2509982907420882,1.0362370619690875,1.2072510592941978,0.4964218720883977,0.5284490896424879
spectral_contrast_std,kpop,suno,Spectral,0.8336407696075261,0.1385964243326302,6.014879342101898,0.00011119558546107646,0.0004797011881008923
zero_crossing_rate_mean,kpop,suno,Spectral,0.0006530662649489818,0.0006089500933620561,1.0724462842978761,0.6671961216552782,0.6880460004570056
zero_crossing_rate_std,kpop,suno,Spectral,0.000379798016914109,0.000347102664987658,1.0941950472423296,0.41756013200524633,0.4517863723335452
harmonic_ratio,kpop,suno,Prompt-encoded,0.015649860607256864,0.0090043126079096,1.7380405688613765,0.018993367263967217,0.03241102238525341
tempo,kpop,suno,Prompt-encoded,717.9438492280841,561.6841980536382,1.278198410629889,0.06939398218436271,0.09346944539118242
onset_density,kpop,suno,Prompt-encoded,1.602536475869809,0.712690909090909,2.2485715131598423,0.010597211646230665,0.018903134287870917
onset_strength_mean,kpop,suno,Rhythmic,0.4269821465894346,0.05494810574452732,7.770643606435166,6.4137629002249895e-12,1.714352727334639e-10
onset_strength_std,kpop,suno,Rhythmic,1.5661605826651754,0.25283153809446696,6.194482675970597,7.792512396975631e-12,1.714352727334639e-10
ioi_mean,kpop,suno,Rhythmic,0.005082832394154326,0.008339957218670181,0.6094554517348941,0.060418775176515414,0.0830758158677087
ioi_std,kpop,suno,Rhythmic,0.024257923401624252,0.014506778267910306,1.6721785467200494,0.583570229007964,0.6113592875321527
ioi_cv,kpop,suno,Rhythmic,0.12345224920697366,0.07115849391554484,1.7348912605358706,0.2729505039892365,0.31059884936706217
chroma_stft_mean,kpop,suno,Harmonic,0.0049449602578472565,0.003381163843805198,1.462502406355483,0.031690951819099714,0.049800067144299555
chroma_stft_std,kpop,suno,Harmonic,0.00020360486312334428,0.00012741583258148127,1.597955756347162,0.010091538618695682,0.018501154134275416
chroma_stft_var,kpop,suno,Harmonic,7.815933110112497e-05,4.5046748001977004e-05,1.7350715549476452,0.004033350146266748,0.00858713256947114
chroma_cqt_mean,kpop,suno,Harmonic,0.007582479901274889,0.006472990577398658,1.1714028949385724,0.24344907962304485,0.28772128164218
chroma_cqt_std,kpop,suno,Harmonic,0.0003393667782724482,0.0005195390174323285,0.6532074914212804,0.04268961815658325,0.06261143996298876
tonnetz_mean,kpop,suno,Harmonic,0.0014335714375971593,0.0006166247703122893,2.3248683909845655,0.0013498830289169295,0.0035636911963406936
tonnetz_std,kpop,suno,Harmonic,0.004022191023494457,0.0017707193331267636,2.271501162407263,6.05079157365161e-05,0.0002852516027578616
repetition_score,kpop,suno,Structural,0.0006633340755587659,0.0003507143714680104,1.8913797937113346,0.002120902358770853,0.004826881230306079
self_similarity_mean,kpop,suno,Prompt-encoded,0.0006633340755587659,0.0003507143714680104,1.8913797937113346,0.002120902358770853,0.004826881230306079
self_similarity_std,kpop,suno,Structural,0.0006587004580559841,0.00032058191202576157,2.0547025061197206,0.0006490981918180868,0.0020400228885711297
mfcc_0_mean,kpop,suno,Timbral (MFCC),5244.844783495908,1801.4029805519608,2.9115333104916123,7.08315926476712e-06,3.8957375956219166e-05
mfcc_1_mean,kpop,suno,Timbral (MFCC),1109.0697571120209,234.6996479402161,4.72548538885976,8.224214311594889e-09,9.046635742754377e-08
mfcc_2_mean,kpop,suno,Timbral (MFCC),447.67350476351123,171.2509401987676,2.614137500465138,0.0076457977742981085,0.014417790088676432
mfcc_3_mean,kpop,suno,Timbral (MFCC),118.00459449279641,77.67249547535253,1.519258442394738,0.019151967773104288,0.03241102238525341
mfcc_4_mean,kpop,suno,Timbral (MFCC),55.12881194747906,42.23018792703386,1.3054361027881687,0.24412714806003152,0.28772128164218
mfcc_5_mean,kpop,suno,Timbral (MFCC),45.836186934041976,29.157006388438887,1.5720470861582205,0.13851776143833872,0.1792582795084383
mfcc_6_mean,kpop,suno,Timbral (MFCC),34.59398392671623,34.25532108479369,1.009886430230335,0.7315727950874606,0.7315727950874606
mfcc_7_mean,kpop,suno,Timbral (MFCC),36.99645066874919,30.130807465782727,1.2278612417129298,0.22297182797442658,0.27766303106249346
mfcc_8_mean,kpop,suno,Timbral (MFCC),27.823870723006358,28.216642120142453,0.9860801510164204,0.6901981911423236,0.7008166248522054
mfcc_9_mean,kpop,suno,Timbral (MFCC),31.753224233045724,19.335670794375556,1.6422096016592422,0.02259947802242097,0.037289138736994604
mfcc_10_mean,kpop,suno,Timbral (MFCC),21.0372465404146,17.14613907312423,1.2269378226022616,0.2720684319929282,0.31059884936706217
mfcc_11_mean,kpop,suno,Timbral (MFCC),26.545883050443564,14.001221619681235,1.8959690640942752,0.0010808276336897492,0.00297533575017739
mfcc_12_mean,kpop,suno,Timbral (MFCC),20.201822368702203,12.594470170278294,1.604023201895107,0.006695284220720203,0.013390568441440405
mfcc_0_std,kpop,suno,Timbral (MFCC),745.8777466615504,480.0237109943095,1.5538352160074702,0.005375579291127733,0.011087132287950949
mfcc_1_std,kpop,suno,Timbral (MFCC),162.96014834293925,47.41734972037754,3.436719877933358,2.47650054988089e-09,3.268980725842775e-08
mfcc_2_std,kpop,suno,Timbral (MFCC),103.58432298572257,45.43276056568064,2.279947810698717,0.00030113452072139417,0.0011691104922124714
mfcc_3_std,kpop,suno,Timbral (MFCC),43.202997568186134,15.530112974373314,2.7818855947459395,0.001081940272791778,0.00297533575017739
mfcc_4_std,kpop,suno,Timbral (MFCC),15.154159344632186,11.612597151149071,1.3049758936253701,0.173885695131383,0.22070107458983226
mfcc_5_std,kpop,suno,Timbral (MFCC),14.521460209130366,9.860517973846552,1.4726873626361434,0.04592845323833361,0.06449527476021315
mfcc_6_std,kpop,suno,Timbral (MFCC),10.970849288875039,6.457160301966444,1.699020742219147,0.04524165941882741,0.06449527476021315
